date,Open,High,Low,Values,Adj Close,Volume
28-09-2021,248,260,242.1000061,257.6000061,255.9745636,17653801
29-09-2021,255.0500031,264.7999878,251.5500031,253.3000031,251.7017059,11029696
30-09-2021,256.3999939,264.7999878,254.5,263.2999878,261.6385803,11399538
01-10-2021,260.1000061,288.5,260.1000061,281.2999878,279.5249939,49705903
04-10-2021,282.7000122,283.8500061,269.0499878,275.8500061,274.1094055,15365889
05-10-2021,274,278.1000061,268.4500122,271,269.2900085,7623913
06-10-2021,270.8999939,279.7000122,263.0499878,264.25,262.5826111,12225716
07-10-2021,267.2000122,274.3999939,267,269.6499939,267.9485168,5019084
08-10-2021,271.7999878,282.3999939,271,272.5,270.7805481,9623122
11-10-2021,274.6499939,281,257.5499878,272.2999878,270.5817871,10431885
12-10-2021,274.3999939,307.4500122,273.4500122,285.2000122,283.4004211,37488003
13-10-2021,287.9500122,289.7000122,278.0499878,283.4500122,281.6614685,6679620
14-10-2021,285.6000061,294.5499878,278.25,289.8999939,288.0707397,10382313
18-10-2021,292.5499878,300.4500122,289.1000061,291.7000122,289.8594055,9054606
19-10-2021,293,297.3500061,273.7000122,276.2999878,274.5565491,7253777
20-10-2021,278,279.75,263.5,272.2999878,270.5817871,6615823
21-10-2021,276,277,269,274.9500122,273.2150879,4456316
22-10-2021,276,279.7999878,265,268.7000122,267.0045471,4306842
25-10-2021,269.8999939,270.4500122,249.3999939,254.5,252.8941193,5990071
26-10-2021,254.5,264,254.3500061,262.5,260.8436584,3114891
27-10-2021,263.5,270.25,261.5,265.7000122,264.023468,3378312
28-10-2021,266.7000122,271.2999878,257.7999878,259.5499878,257.9122314,3308952
29-10-2021,260.7000122,265.7999878,252.8999939,258.7000122,257.067627,2900937
01-11-2021,258.7000122,277,258.7000122,275.4500122,273.7119446,6007669
02-11-2021,277.9500122,278.2000122,271.9500122,272.7000122,270.9793091,4044590
03-11-2021,273,275.8999939,268.1499939,273.4500122,271.7245483,4380736
04-11-2021,279,283.8999939,276,282.1000061,280.3199768,4519283
08-11-2021,284,289.2999878,281.75,286.2000122,284.394104,5547165
09-11-2021,286,296,285,291.1000061,289.2631836,6576728
10-11-2021,289.9500122,308.5,288.6499939,301.6000061,299.6969299,19611196
11-11-2021,301.5,302.4500122,292.2000122,295.3999939,293.5360413,5149642
12-11-2021,296.8500061,302.4500122,296.5,298.1000061,296.2190247,3796270
15-11-2021,299.7000122,305.6000061,293.25,304.0499878,302.1314697,5658723
16-11-2021,304.6499939,307.8999939,296.2000122,298.1000061,296.2190247,5154310
17-11-2021,297,304,295.5,297.8500061,295.9705811,3916872
18-11-2021,298,301.4500122,287,292.0499878,290.2071838,4208318
22-11-2021,291.4500122,292.7999878,270.6499939,275.25,273.5131836,4564185
23-11-2021,271.8999939,286.6000061,270.5,284.75,282.9532471,3320759
24-11-2021,286,290,280.5,282.2000122,280.419342,2394390
25-11-2021,283.3999939,295.2000122,280.8999939,293,291.1511841,6862844
26-11-2021,288.7999878,288.7999878,264,266.75,265.0668335,11202104
29-11-2021,260,262.0499878,245,248.5500031,246.9816742,7618388
30-11-2021,250,261.4500122,245.1000061,246.6499939,245.0936432,8248679
01-12-2021,250,253.6000061,242.1000061,247.75,246.1867218,4740303
02-12-2021,250.25,255.9499969,246.0500031,253.4499969,251.8507385,3871644
03-12-2021,252.6000061,260.8999939,251.25,252.6499939,251.0557861,4728055
06-12-2021,250.25,254.3000031,243,244.5,242.9572296,3229230
07-12-2021,248,259.8999939,247.5500031,258.3999939,256.7695007,7647444
08-12-2021,261,273.1499939,260.6499939,271.4500122,269.7371826,8580498
09-12-2021,272.5,276.8500061,267.25,275.9500122,274.2088013,4853835
10-12-2021,278,286.5,278,285.3500061,283.549469,8993287
13-12-2021,286,297.7000122,281.2000122,295.75,293.8838501,7232598
14-12-2021,292.8999939,300.8500061,291.2000122,294.8999939,293.0391846,8920314
15-12-2021,295,296.3999939,286,287.3500061,285.5368347,3914750
16-12-2021,290.5,292.3999939,282.5,286.3500061,284.5431519,3631920
